"","SURVEY","YEAR","samp_size","medianK","P25","P75","stock"
"1","NMFS fall BTS",1992,288,1.03661212095,0.9646728366,1.096515684225,"redfish"
"2","NMFS fall BTS",1993,376,1.04476111165,0.984321670775,1.12691023015,"redfish"
"3","NMFS fall BTS",1994,349,1.0031439098,0.9314907733,1.0821936874,"redfish"
"4","NMFS fall BTS",1995,321,0.9950966375,0.9302957845,1.0747970462,"redfish"
"5","NMFS fall BTS",1996,427,1.0473848637,0.97322787285,1.10867628665,"redfish"
"6","NMFS fall BTS",1997,550,1.0551355443,0.9826487677,1.1172687883,"redfish"
"7","NMFS fall BTS",1998,520,1.1052799236,1.04250055885,1.1866578504,"redfish"
"8","NMFS fall BTS",1999,595,1.0390259782,0.95561690305,1.11465221635,"redfish"
"9","NMFS fall BTS",2000,437,1.0373228568,0.9743727309,1.0975575677,"redfish"
"10","NMFS fall BTS",2001,502,0.9650159496,0.8909167508,1.044095763825,"redfish"
"11","NMFS fall BTS",2002,490,0.9760510872,0.9144647554,1.03906407,"redfish"
"12","NMFS fall BTS",2003,523,0.9800635865,0.9146530345,1.04017091175,"redfish"
"13","NMFS fall BTS",2004,764,0.99729325285,0.93052590165,1.065570766975,"redfish"
"14","NMFS fall BTS",2005,689,0.9697746066,0.8880137019,1.0493999393,"redfish"
"15","NMFS fall BTS",2006,734,0.99715975325,0.92871650565,1.058253324875,"redfish"
"16","NMFS fall BTS",2007,639,1.0084434612,0.9458214006,1.07000463615,"redfish"
"17","NMFS fall BTS",2008,840,0.9538917422,0.8816741432,1.0237829416,"redfish"
"18","NMFS fall BTS",2009,843,0.986187223,0.9314907733,1.0668529639,"redfish"
"19","NMFS fall BTS",2010,749,0.9850451564,0.9216971195,1.0543910512,"redfish"
"20","NMFS fall BTS",2011,779,1.0021986607,0.9347877504,1.0693585952,"redfish"
"21","NMFS fall BTS",2012,924,1.0002639092,0.9388306082,1.06691354725,"redfish"
"22","NMFS fall BTS",2013,783,0.991753959,0.9259287755,1.0814628642,"redfish"
"23","NMFS fall BTS",2014,783,0.9927607306,0.9204414081,1.0832310158,"redfish"
"24","NMFS fall BTS",2015,806,1.0117417612,0.9314907733,1.0957635811,"redfish"
"25","NMFS fall BTS",2016,797,0.9916492011,0.9291561962,1.0680024289,"redfish"
"26","NMFS fall BTS",2017,291,0.9838293111,0.902448523,1.05620322735,"redfish"
"27","NMFS fall BTS",2018,479,0.9953801521,0.9341743216,1.0654570059,"redfish"
"28","NMFS spring BTS",1992,176,1.014816093,0.94765998675,1.080647576025,"redfish"
"29","NMFS spring BTS",1993,229,1.0249752913,0.9353891299,1.1233941001,"redfish"
"30","NMFS spring BTS",1994,166,1.04210592965,0.973237614175,1.116835497375,"redfish"
"31","NMFS spring BTS",1995,187,1.0129167585,0.9363749523,1.102047374,"redfish"
"32","NMFS spring BTS",1996,281,1.0545679653,0.9810673674,1.1319411584,"redfish"
"33","NMFS spring BTS",1997,371,1.0134741308,0.92432691785,1.0850831432,"redfish"
"34","NMFS spring BTS",1998,416,1.0439955943,0.97302101445,1.122868195075,"redfish"
"35","NMFS spring BTS",1999,264,1.0677468057,1.000673709875,1.1467364867,"redfish"
"36","NMFS spring BTS",2000,288,1.06041144155,0.98071768285,1.12164447845,"redfish"
"37","NMFS spring BTS",2001,299,0.987477283,0.92711488375,1.061227872,"redfish"
"38","NMFS spring BTS",2002,284,0.98391649885,0.915240946,1.05725670795,"redfish"
"39","NMFS spring BTS",2003,338,0.99321098925,0.926468389975,1.0657614472,"redfish"
"40","NMFS spring BTS",2004,362,0.97993472355,0.899040088275,1.057907013625,"redfish"
"41","NMFS spring BTS",2005,308,0.9872422104,0.9195339999,1.0555817502,"redfish"
"42","NMFS spring BTS",2006,319,0.991181464,0.91815056915,1.0658321684,"redfish"
"43","NMFS spring BTS",2007,318,1.0225675677,0.956456134275,1.09853013295,"redfish"
"44","NMFS spring BTS",2008,400,1.03713280075,0.971489377575,1.11758444125,"redfish"
"45","NMFS spring BTS",2009,759,0.9735673201,0.9006788523,1.0572232788,"redfish"
"46","NMFS spring BTS",2010,732,0.9780097418,0.9016222399,1.06117013535,"redfish"
"47","NMFS spring BTS",2011,607,0.965660279,0.89344431125,1.04851123355,"redfish"
"48","NMFS spring BTS",2012,795,0.9847034704,0.9116764677,1.0751061268,"redfish"
"49","NMFS spring BTS",2013,657,0.9830296768,0.9153581556,1.0532596414,"redfish"
"50","NMFS spring BTS",2014,689,1.0079594596,0.9405655614,1.0817869112,"redfish"
"51","NMFS spring BTS",2015,417,1.0055070649,0.9297811531,1.089153949,"redfish"
"52","NMFS spring BTS",2016,479,0.9735673201,0.90856859235,1.0509632532,"redfish"
"53","NMFS spring BTS",2017,396,0.9873523824,0.918700203825,1.05701710305,"redfish"
"54","NMFS spring BTS",2018,178,0.9904176068,0.925485959925,1.058812817825,"redfish"
