"","SURVEY","YEAR","samp_size","medianK","P25","P75","stock"
"1","NMFS fall BTS",1992,684,1.0119998985,0.8913289567,1.1395529058,"butterfish"
"2","NMFS fall BTS",1993,525,1.075959429,0.9649301358,1.1775380026,"butterfish"
"3","NMFS fall BTS",1994,670,1.0186364719,0.9057806412,1.140688906575,"butterfish"
"4","NMFS fall BTS",1995,595,1.0375001103,0.9271702556,1.16619549915,"butterfish"
"5","NMFS fall BTS",1996,480,1.0590696612,0.9649301358,1.1656227147,"butterfish"
"6","NMFS fall BTS",1997,538,1.0075892555,0.9025096767,1.1332080902,"butterfish"
"7","NMFS fall BTS",1998,631,0.9884650172,0.88098986185,1.15104900495,"butterfish"
"8","NMFS fall BTS",1999,454,1.0593027838,0.95132266145,1.1884092172,"butterfish"
"9","NMFS fall BTS",2000,454,1.088240371,0.96238517295,1.202215787725,"butterfish"
"10","NMFS fall BTS",2001,402,0.9431819184,0.8237208476,1.045929284475,"butterfish"
"11","NMFS fall BTS",2002,535,0.9265206194,0.8022308237,1.07695967075,"butterfish"
"12","NMFS fall BTS",2003,566,1.01309102865,0.871507264725,1.1626029871,"butterfish"
"13","NMFS fall BTS",2004,336,0.9175028514,0.7766510849,1.0289960597,"butterfish"
"14","NMFS fall BTS",2005,535,0.8913289567,0.7941942381,1.0132461411,"butterfish"
"15","NMFS fall BTS",2006,718,0.9786797142,0.831418098875,1.0850961213,"butterfish"
"16","NMFS fall BTS",2007,486,0.9876125183,0.84458764805,1.1129546637,"butterfish"
"17","NMFS fall BTS",2008,625,0.9025096767,0.7760460482,1.0301891729,"butterfish"
"18","NMFS fall BTS",2009,1068,0.9862961432,0.847090718975,1.1332080902,"butterfish"
"19","NMFS fall BTS",2010,1201,1.0119998985,0.8863189267,1.1332080902,"butterfish"
"20","NMFS fall BTS",2011,1477,1.0285983553,0.9025096767,1.130502133,"butterfish"
"21","NMFS fall BTS",2012,653,1.0301891729,0.92431828,1.1357349528,"butterfish"
"22","NMFS fall BTS",2013,724,1.05739433035,0.9364850698,1.1522146047,"butterfish"
"23","NMFS fall BTS",2014,749,1.0075892555,0.8963839807,1.1142295079,"butterfish"
"24","NMFS fall BTS",2015,713,1.0375001103,0.92431828,1.1621984545,"butterfish"
"25","NMFS fall BTS",2016,630,1.09896051575,0.9786797142,1.2128249264,"butterfish"
"26","NMFS fall BTS",2018,656,1.0590696612,0.9111348924,1.1739574219,"butterfish"
