"","SURVEY","YEAR","samp_size","medianK","P25","P75","stock"
"1","NMFS fall BTS",1992,22,0.9786096221,0.946790152325,1.02588261035,"SNEMAyt"
"2","NMFS fall BTS",1993,19,1.0136622798,0.953400102,1.09068167055,"SNEMAyt"
"3","NMFS fall BTS",1994,37,1.0024744378,0.9551637129,1.0539737522,"SNEMAyt"
"4","NMFS fall BTS",1995,25,0.9680091614,0.8950140393,1.0183438937,"SNEMAyt"
"5","NMFS fall BTS",1996,30,1.0728069556,1.03883097235,1.10613775055,"SNEMAyt"
"6","NMFS fall BTS",1997,80,0.98582492385,0.9302140159,1.0586278757,"SNEMAyt"
"7","NMFS fall BTS",1998,119,1.0138681167,0.9526207109,1.05139944695,"SNEMAyt"
"8","NMFS fall BTS",1999,45,1.0484740589,0.9913377141,1.1054425609,"SNEMAyt"
"9","NMFS fall BTS",2000,53,0.9955116778,0.9457675988,1.0584137973,"SNEMAyt"
"10","NMFS fall BTS",2001,32,0.9817398637,0.940289985425,1.0440281911,"SNEMAyt"
"11","NMFS fall BTS",2002,68,0.96353117905,0.916629528675,1.0251571382,"SNEMAyt"
"12","NMFS fall BTS",2003,34,0.98786456205,0.93323901655,1.04447615645,"SNEMAyt"
"13","NMFS fall BTS",2004,11,1.0180844671,0.9408473431,1.13211330505,"SNEMAyt"
"14","NMFS fall BTS",2005,68,0.99152813465,0.92896735805,1.06468859925,"SNEMAyt"
"15","NMFS fall BTS",2006,100,0.9424146501,0.8874054122,1.0003435522,"SNEMAyt"
"16","NMFS fall BTS",2007,37,0.9679155272,0.9198714639,1.0244842971,"SNEMAyt"
"17","NMFS fall BTS",2008,120,0.9949341133,0.919339457525,1.0429901741,"SNEMAyt"
"18","NMFS fall BTS",2009,177,0.9906790968,0.9326154648,1.0514187877,"SNEMAyt"
"19","NMFS fall BTS",2010,329,1.0222401468,0.966516192,1.086910432,"SNEMAyt"
"20","NMFS fall BTS",2011,82,1.00454422005,0.9388518991,1.05391096245,"SNEMAyt"
"21","NMFS fall BTS",2012,190,0.99043620835,0.92788160805,1.0304324194,"SNEMAyt"
"22","NMFS fall BTS",2013,105,1.0041300537,0.9533947569,1.0648367666,"SNEMAyt"
"23","NMFS fall BTS",2014,32,1.04325272815,0.98602856315,1.0967064394,"SNEMAyt"
"24","NMFS fall BTS",2015,9,1.0198436637,0.9788186171,1.0452553857,"SNEMAyt"
"25","NMFS fall BTS",2016,45,1.0548046576,1.0138681167,1.1661940254,"SNEMAyt"
"26","NMFS fall BTS",2018,10,1.02492477215,0.992225640725,1.15396393,"SNEMAyt"
"27","NMFS spring BTS",1992,29,0.9830519946,0.9160532352,1.0853795124,"SNEMAyt"
"28","NMFS spring BTS",1993,35,1.0188994974,0.9703797238,1.1137007926,"SNEMAyt"
"29","NMFS spring BTS",1994,24,1.11125988935,1.038206577525,1.232135657975,"SNEMAyt"
"30","NMFS spring BTS",1995,62,1.0460818851,0.969874804775,1.1361802586,"SNEMAyt"
"31","NMFS spring BTS",1996,70,1.0265739136,0.934627328225,1.116558385075,"SNEMAyt"
"32","NMFS spring BTS",1997,121,1.015995574,0.9516136816,1.1133774334,"SNEMAyt"
"33","NMFS spring BTS",1998,114,1.02066169175,0.963758833225,1.092723666775,"SNEMAyt"
"34","NMFS spring BTS",1999,136,1.02654177405,0.969226905575,1.124910202525,"SNEMAyt"
"35","NMFS spring BTS",2000,157,1.0053540223,0.9454871855,1.1102159618,"SNEMAyt"
"36","NMFS spring BTS",2001,78,0.9754350271,0.902917149275,1.0767120343,"SNEMAyt"
