"","SURVEY","YEAR","samp_size","medianK","P25","P75","stock"
"1","NMFS fall BTS",1992,6,1.09866200925,1.082726280225,1.125297507,"GOMhaddock"
"2","NMFS fall BTS",1993,35,1.0335032153,1.0008857945,1.1111827576,"GOMhaddock"
"3","NMFS fall BTS",1994,10,0.9680920647,0.86335950585,1.070807483625,"GOMhaddock"
"4","NMFS fall BTS",1995,33,1.0034523369,0.9636562017,1.05710509,"GOMhaddock"
"5","NMFS fall BTS",1996,68,1.010119335,0.964801466825,1.087218594525,"GOMhaddock"
"6","NMFS fall BTS",1997,74,1.0377593359,0.9858059393,1.08600342805,"GOMhaddock"
"7","NMFS fall BTS",1998,90,0.9529328167,0.880518233575,1.0781249307,"GOMhaddock"
"8","NMFS fall BTS",1999,216,0.9972181756,0.93816325345,1.054180917175,"GOMhaddock"
"9","NMFS fall BTS",2000,154,1.03738718765,0.9659101196,1.0849168791,"GOMhaddock"
"10","NMFS fall BTS",2001,184,0.9501652991,0.90582939135,1.013040938075,"GOMhaddock"
"11","NMFS fall BTS",2002,103,0.9251819722,0.855625215,0.9921922681,"GOMhaddock"
"12","NMFS fall BTS",2003,133,0.9522257395,0.8996791329,1.0239162173,"GOMhaddock"
"13","NMFS fall BTS",2004,116,0.9465181029,0.90174260355,1.00043670565,"GOMhaddock"
"14","NMFS fall BTS",2005,119,0.9568022757,0.9060968565,1.0049079623,"GOMhaddock"
"15","NMFS fall BTS",2006,170,0.9454707903,0.885901546875,1.0070569106,"GOMhaddock"
"16","NMFS fall BTS",2007,125,0.9713114367,0.9159350438,1.0184693227,"GOMhaddock"
"17","NMFS fall BTS",2008,60,0.96588076955,0.90030966915,1.013717180675,"GOMhaddock"
"18","NMFS fall BTS",2009,77,0.9907987604,0.9215087802,1.0619140053,"GOMhaddock"
"19","NMFS fall BTS",2010,124,0.9917214838,0.927648287825,1.0722437731,"GOMhaddock"
"20","NMFS fall BTS",2011,135,0.9873611711,0.94205168815,1.04975257105,"GOMhaddock"
"21","NMFS fall BTS",2012,109,1.0006812231,0.9319260383,1.0513180183,"GOMhaddock"
"22","NMFS fall BTS",2013,303,1.002288413,0.94205997835,1.07466374175,"GOMhaddock"
"23","NMFS fall BTS",2014,495,1.0442169808,0.9750876718,1.1069533378,"GOMhaddock"
"24","NMFS fall BTS",2015,803,1.0122460108,0.9513088194,1.0761593983,"GOMhaddock"
"25","NMFS fall BTS",2016,607,1.0198167488,0.9511344806,1.0877979568,"GOMhaddock"
"26","NMFS fall BTS",2017,293,1.0131294259,0.9305657205,1.0676572223,"GOMhaddock"
"27","NMFS fall BTS",2018,368,1.0232698092,0.966344656275,1.07322126455,"GOMhaddock"
"28","NMFS spring BTS",1992,7,1.0190252658,0.99843040205,1.17819983295,"GOMhaddock"
"29","NMFS spring BTS",1993,21,0.9968446813,0.9083342518,1.0347109131,"GOMhaddock"
"30","NMFS spring BTS",1994,20,1.0074605335,0.95954306665,1.062029342175,"GOMhaddock"
"31","NMFS spring BTS",1995,21,0.940882367,0.9039330404,1.0327983379,"GOMhaddock"
"32","NMFS spring BTS",1996,10,1.09709381315,1.0176142952,1.1508659961,"GOMhaddock"
"33","NMFS spring BTS",1997,62,1.0168701259,0.973300909475,1.079363134875,"GOMhaddock"
"34","NMFS spring BTS",1998,11,1.0473582676,0.99144055405,1.0959370234,"GOMhaddock"
"35","NMFS spring BTS",1999,77,1.0426426164,0.9671688454,1.11347151,"GOMhaddock"
"36","NMFS spring BTS",2000,86,1.0263255812,0.960539454575,1.09335470725,"GOMhaddock"
"37","NMFS spring BTS",2001,74,1.0275544894,0.975031778525,1.101889062125,"GOMhaddock"
"38","NMFS spring BTS",2002,120,0.99111372325,0.920173444575,1.064673148825,"GOMhaddock"
"39","NMFS spring BTS",2003,120,0.9938808094,0.94804867595,1.0572756358,"GOMhaddock"
"40","NMFS spring BTS",2004,43,1.0182939697,0.94439500175,1.1163598834,"GOMhaddock"
"41","NMFS spring BTS",2005,33,1.0352351443,0.9075758544,1.1192708407,"GOMhaddock"
"42","NMFS spring BTS",2006,97,1.000241257,0.9314848199,1.0791571327,"GOMhaddock"
"43","NMFS spring BTS",2007,39,1.0036270922,0.91269675305,1.07008398855,"GOMhaddock"
"44","NMFS spring BTS",2008,58,0.99785830735,0.955150727925,1.041712510525,"GOMhaddock"
"45","NMFS spring BTS",2009,118,0.9819645476,0.94539272115,1.05822955415,"GOMhaddock"
"46","NMFS spring BTS",2010,94,0.9860716633,0.935530425725,1.051885803775,"GOMhaddock"
"47","NMFS spring BTS",2011,88,0.9805793039,0.9322167796,1.048400643575,"GOMhaddock"
"48","NMFS spring BTS",2012,226,0.9863366164,0.93348153595,1.0573953138,"GOMhaddock"
"49","NMFS spring BTS",2013,368,1.01524206635,0.964656620275,1.08282609855,"GOMhaddock"
"50","NMFS spring BTS",2014,399,0.996874613,0.9294995257,1.0514797865,"GOMhaddock"
"51","NMFS spring BTS",2015,622,1.0149210804,0.9558889107,1.076772485975,"GOMhaddock"
"52","NMFS spring BTS",2016,897,0.9862439194,0.9276713816,1.0460162781,"GOMhaddock"
"53","NMFS spring BTS",2017,699,0.9793326997,0.924048921,1.03833041735,"GOMhaddock"
"54","NMFS spring BTS",2018,459,1.0076081346,0.9491655593,1.0622584489,"GOMhaddock"
