"stock","survey","plotyear","Sinclair_Z","low90","high90"
"GBcod","NMFS fall BTS",1971.5,0.120185653845425,-0.0370443691860946,0.277415676876945
"GBcod","NMFS fall BTS",1972.5,0.376207612298881,0.104011121087336,0.648404103510425
"GBcod","NMFS fall BTS",1973.5,0.648285385990871,0.383032271076681,0.913538500905061
"GBcod","NMFS fall BTS",1974.5,0.632218080196817,0.392797252957271,0.871638907436364
"GBcod","NMFS fall BTS",1975.5,0.491360727361328,0.271725069972184,0.710996384750472
"GBcod","NMFS fall BTS",1976.5,0.442336999515726,0.243139178795023,0.641534820236429
"GBcod","NMFS fall BTS",1977.5,0.498699481201088,0.343382988934306,0.65401597346787
"GBcod","NMFS fall BTS",1978.5,0.786789922798035,0.540491055127235,1.03308879046883
"GBcod","NMFS fall BTS",1979.5,0.753312235003355,0.504689702964676,1.00193476704204
"GBcod","NMFS fall BTS",1980.5,0.826961113980259,0.477448439305847,1.17647378865467
"GBcod","NMFS fall BTS",1981.5,0.798642596742933,0.361854686217925,1.23543050726794
"GBcod","NMFS fall BTS",1982.5,0.813679990233785,0.505389113773184,1.12197086669439
"GBcod","NMFS fall BTS",1983.5,0.692730928839029,0.427949586817114,0.957512270860944
"GBcod","NMFS fall BTS",1984.5,0.832906339405538,0.537359983402467,1.12845269540861
"GBcod","NMFS fall BTS",1985.5,1.00419809874542,0.691904237690711,1.31649195980012
"GBcod","NMFS fall BTS",1986.5,0.492719785538043,0.253732633611597,0.73170693746449
"GBcod","NMFS fall BTS",1987.5,0.494816576068329,0.205531530605868,0.784101621530789
"GBcod","NMFS fall BTS",1988.5,0.293154032406215,0.0131195104910143,0.573188554321415
"GBcod","NMFS fall BTS",1989.5,0.656321335752187,0.204467659472647,1.10817501203173
"GBcod","NMFS fall BTS",1990.5,1.10888988022274,0.6699127379592,1.54786702248629
"GBcod","NMFS fall BTS",1991.5,1.11141816783815,0.700842351272644,1.52199398440365
"GBcod","NMFS fall BTS",1992.5,0.661337679999601,0.415243421341427,0.907431938657776
"GBcod","NMFS fall BTS",1993.5,0.711439400065478,0.439346364529057,0.983532435601899
"GBcod","NMFS fall BTS",1994.5,0.791435491503784,0.509358485764342,1.07351249724323
"GBcod","NMFS fall BTS",1995.5,1.02537475955808,0.852056340317385,1.19869317879878
"GBcod","NMFS fall BTS",1996.5,1.20673107715421,0.96275956657497,1.45070258773345
"GBcod","NMFS fall BTS",1997.5,0.777207481935059,0.427543171817228,1.12687179205289
"GBcod","NMFS fall BTS",1998.5,0.871912080693679,0.454862222433327,1.28896193895403
"GBcod","NMFS fall BTS",1999.5,0.937062529257727,0.642539812889468,1.23158524562599
"GBcod","NMFS fall BTS",2000.5,0.421936771435026,0.029737622986555,0.814135919883497
"GBcod","NMFS fall BTS",2001.5,0.439824849826937,0.0209353195876521,0.858714380066223
"GBcod","NMFS fall BTS",2002.5,0.220077786517756,-0.0923327619078131,0.532488334943325
"GBcod","NMFS fall BTS",2003.5,0.902972951612681,0.478682667540639,1.32726323568472
"GBcod","NMFS fall BTS",2004.5,0.708672033953086,0.411245090658497,1.00609897724767
"GBcod","NMFS fall BTS",2005.5,1.20740586773008,0.932681260785254,1.4821304746749
"GBcod","NMFS fall BTS",2006.5,0.832869544434319,0.514110818871845,1.15162826999679
"GBcod","NMFS fall BTS",2007.5,0.661683397912287,0.347327859436436,0.976038936388139
"GBcod","NMFS fall BTS",2008.5,0.357727600103349,0.0432441738701648,0.672211026336533
"GBcod","NMFS fall BTS",2009.5,0.650703092346608,0.395486828735732,0.905919355957484
"GBcod","NMFS fall BTS",2010.5,0.91418736302772,0.684266174442496,1.14410855161294
"GBcod","NMFS fall BTS",2011.5,0.830910857130138,0.470332634972556,1.19148907928772
"GBcod","NMFS fall BTS",2012.5,1.03075343768289,0.703655420083818,1.35785145528196
"GBcod","NMFS fall BTS",2013.5,0.633804033457284,0.247712033503244,1.01989603341132
"GBcod","NMFS fall BTS",2014.5,0.523619732933667,0.17634078794789,0.870898677919444
"GBcod","NMFS fall BTS",2015.5,0.493758140571703,0.111475095600851,0.876041185542555
"GBcod","NMFS fall BTS",1971.5,0.120185653845425,-0.0370443691860946,0.277415676876945
"GBcod","NMFS fall BTS",1972.5,0.376207612298881,0.104011121087336,0.648404103510425
"GBcod","NMFS fall BTS",1973.5,0.648285385990871,0.383032271076681,0.913538500905061
"GBcod","NMFS fall BTS",1974.5,0.632218080196817,0.392797252957271,0.871638907436364
"GBcod","NMFS fall BTS",1975.5,0.491360727361328,0.271725069972184,0.710996384750472
"GBcod","NMFS fall BTS",1976.5,0.442336999515726,0.243139178795023,0.641534820236429
"GBcod","NMFS fall BTS",1977.5,0.498699481201088,0.343382988934306,0.65401597346787
"GBcod","NMFS fall BTS",1978.5,0.786789922798035,0.540491055127235,1.03308879046883
"GBcod","NMFS fall BTS",1979.5,0.753312235003355,0.504689702964676,1.00193476704204
"GBcod","NMFS fall BTS",1980.5,0.826961113980259,0.477448439305847,1.17647378865467
"GBcod","NMFS fall BTS",1981.5,0.798642596742933,0.361854686217925,1.23543050726794
"GBcod","NMFS fall BTS",1982.5,0.813679990233785,0.505389113773184,1.12197086669439
"GBcod","NMFS fall BTS",1983.5,0.692730928839029,0.427949586817114,0.957512270860944
"GBcod","NMFS fall BTS",1984.5,0.832906339405538,0.537359983402467,1.12845269540861
"GBcod","NMFS fall BTS",1985.5,1.00419809874542,0.691904237690711,1.31649195980012
"GBcod","NMFS fall BTS",1986.5,0.492719785538043,0.253732633611597,0.73170693746449
